text,label,group_id,context,source,risk_slice,is_hard_negative
什么是置信区间？,information,information-tpl-06,,synthetic,,false
麻烦帮我看下审批到哪一步了,read_only,read_only-tpl-02,,synthetic,readonly_vs_write,true
打开窗户。,oos,oos-tpl-12,你是想查看状态还是撤回 Review？,synthetic,,false
关闭实验 999 的告警。,write_action,write_action-tpl-17,,synthetic,,false
帮我看下最近的实验列表，谢谢,read_only,read_only-tpl-07,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦实验 654 的置信区间是多少？,read_only,read_only-tpl-06,,synthetic,,false
看下昨天实验组的转化率,read_only,read_only-tpl-04,,synthetic,,false
看看咋回事,unclear,unclear-tpl-18,,synthetic,,false
实验 456 现在跑得怎么样了？，谢谢,read_only,read_only-tpl-01,,synthetic,,false
帮我弄一下。,unclear,unclear-tpl-07,,synthetic,missing_object,true
查一下 Review 88 的进度。,read_only,read_only-tpl-09,你是想查看状态还是撤回 Review？,synthetic,readonly_vs_write,false
麻烦实验 666 的观察周期到几号？,read_only,read_only-tpl-17,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦现在有多少个进行中的实验？,read_only,read_only-tpl-15,,synthetic,,false
看下昨天实验组的转化率，谢谢,read_only,read_only-tpl-04,,synthetic,,false
指标异动一般有哪些原因？，谢谢,information,information-tpl-16,,synthetic,,false
给实验 888 添加一个指标，谢谢,write_action,write_action-tpl-16,,synthetic,,false
如何给实验添加分流组？,information,information-tpl-02,,synthetic,,false
麻烦实验 789 的核心指标是多少？,read_only,read_only-tpl-03,,synthetic,,false
分层实验是什么概念？，谢谢,information,information-tpl-12,,synthetic,,false
把实验 333 的观察期延长一周。,write_action,write_action-tpl-14,,synthetic,,false
帮我优化下实验。,unclear,unclear-tpl-05,,synthetic,,false
明天几点开会,oos,oos-tpl-10,你是想查看状态还是撤回 Review？,synthetic,,false
Review 流程是什么样的？,information,information-tpl-03,,synthetic,,false
帮我跟一下这个事,unclear,unclear-tpl-10,,synthetic,,false
撤销刚才的提交，谢谢,write_action,write_action-tpl-06,,synthetic,,false
麻烦什么是 MAB 实验？,information,information-tpl-19,,synthetic,,false
麻烦实验好像没跑起来,unclear,unclear-tpl-12,,synthetic,,false
帮我创建一个实验，谢谢,write_action,write_action-tpl-00,,synthetic,qa_vs_write,true
帮我创建一个实验,write_action,write_action-tpl-00,,synthetic,qa_vs_write,false
实验报告支持导出吗？,information,information-tpl-10,,synthetic,,false
搞一下昨天说的那个。,unclear,unclear-tpl-14,,synthetic,missing_object,true
帮我预订会议室。,oos,oos-tpl-00,,synthetic,oos_near_domain,true
查一下 Review 88 的进度，谢谢,read_only,read_only-tpl-09,,synthetic,readonly_vs_write,false
帮我弄个东西,unclear,unclear-tpl-19,,synthetic,missing_object,true
创建一个新实验,write_action,write_action-tpl-01,,synthetic,,false
把实验 333 的观察期延长一周,write_action,write_action-tpl-14,,synthetic,,false
怎么写实验结论？，谢谢,information,information-tpl-11,,synthetic,,false
最小可检测提升是什么？。,information,information-tpl-18,,synthetic,,false
麻烦怎么理解实验的显著性结果？,information,information-tpl-07,,synthetic,,false
麻烦什么是置信区间？,information,information-tpl-06,你是想查看状态还是撤回 Review？,synthetic,,false
今天限行尾号是多少，谢谢,oos,oos-tpl-17,你是想查看状态还是撤回 Review？,synthetic,,false
实验 777 的指标趋势如何？,read_only,read_only-tpl-19,,synthetic,,false
实验 777 的指标趋势如何？，谢谢,read_only,read_only-tpl-19,,synthetic,,false
启动实验 456，谢谢,write_action,write_action-tpl-04,,synthetic,,false
麻烦指标异动一般有哪些原因？,information,information-tpl-16,,synthetic,,false
查实验 321 的分流比例,read_only,read_only-tpl-05,你是想查看状态还是撤回 Review？,synthetic,,false
帮我读一下实验报告里的结论。,read_only,read_only-tpl-18,你是想查看状态还是撤回 Review？,synthetic,,false
帮我新建一个实验,write_action,write_action-tpl-02,你是想查看状态还是撤回 Review？,synthetic,,false
处理一下告警,unclear,unclear-tpl-04,,synthetic,missing_object,true
麻烦今天天气怎么样,oos,oos-tpl-01,你是想查看状态还是撤回 Review？,synthetic,,false
帮我看看这个，谢谢,unclear,unclear-tpl-01,你是想查看状态还是撤回 Review？,synthetic,missing_object,false
设置一个明天 7 点的闹钟,oos,oos-tpl-13,你是想查看状态还是撤回 Review？,synthetic,,false
怎么查看实验的指标口径说明？。,information,information-tpl-04,,synthetic,,false
提交实验 654 的 Review，谢谢,write_action,write_action-tpl-11,,synthetic,,false
这个数不对吧,unclear,unclear-tpl-11,,synthetic,,false
麻烦帮我处理一下这个实验,unclear,unclear-tpl-00,,synthetic,missing_object,true
Libra 怎么创建实验？。,information,information-tpl-00,,synthetic,qa_vs_write,true
帮我预订会议室,oos,oos-tpl-00,你是想查看状态还是撤回 Review？,synthetic,oos_near_domain,true
查一下实验 123 的状态。,read_only,read_only-tpl-00,你是想查看状态还是撤回 Review？,synthetic,readonly_vs_write,true
怎么估算实验所需样本量？,information,information-tpl-17,,synthetic,,false
帮我确认实验 333 是否已经结束,read_only,read_only-tpl-12,,synthetic,,false
麻烦实验报告支持导出吗？,information,information-tpl-10,,synthetic,,false
帮我跟一下这个事，谢谢,unclear,unclear-tpl-10,,synthetic,,false
帮我发一封邮件给老板,oos,oos-tpl-11,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦帮我新建一个实验,write_action,write_action-tpl-02,,synthetic,,false
帮我优化下实验,unclear,unclear-tpl-05,,synthetic,,false
帮我查一下股价,oos,oos-tpl-07,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦设置一个明天 7 点的闹钟,oos,oos-tpl-13,,synthetic,,false
麻烦把实验 789 的分流比例改成 50/50,write_action,write_action-tpl-07,,synthetic,,false
创建实验有哪些前置条件？。,information,information-tpl-01,,synthetic,qa_vs_write,true
那个东西怎么不对，谢谢,unclear,unclear-tpl-06,,synthetic,,false
麻烦看下昨天实验组的转化率,read_only,read_only-tpl-04,,synthetic,,false
帮我想想办法。,unclear,unclear-tpl-13,,synthetic,,false
实验好像没跑起来，谢谢,unclear,unclear-tpl-12,,synthetic,,false
麻烦搞一下昨天说的那个,unclear,unclear-tpl-14,你是想查看状态还是撤回 Review？,synthetic,missing_object,true
